attribute_id|entity_type_id|attribute_code|attribute_model|backend_model|backend_type|backend_table|frontend_model|frontend_input|frontend_label|frontend_class|source_model|is_required|is_user_defined|default_value|is_unique|note|frontend_input_renderer|is_global|is_visible|is_searchable|is_filterable|is_comparable|is_visible_on_front|is_html_allowed_on_front|is_used_for_price_rules|is_filterable_in_search|used_in_product_listing|used_for_sort_by|is_configurable|apply_to|is_visible_in_advanced_search|position|is_wysiwyg_enabled|is_used_for_promo_rules|_options
128|4|links_purchased_separately|||int||||"Links can be purchased separately"|||1|0||0|||1|0|0|0|0|0|0|0|0|1|0|0|downloadable|0|0|0|0|
129|4|samples_title|||varchar||||"Samples title"|||1|0||0|||0|0|0|0|0|0|0|0|0|0|0|0|downloadable|0|0|0|0|
130|4|links_title|||varchar||||"Links title"|||1|0||0|||0|0|0|0|0|0|0|0|0|0|0|0|downloadable|0|0|0|0|
131|4|links_exist|||int|||||||0|0|0|0|||1|0|0|0|0|0|0|0|0|1|0|0|downloadable|0|0|0|0|
139|4|details|||text|||textarea|Details|||0|1||0|||0|1|0|0|0|1|1|0|0|1|0|0||0|0|1|0|
140|4|sizing|||text|||textarea|Sizing|||0|1||0|||0|1|0|0|0|1|1|0|0|1|0|0||0|0|1|0|
141|4|outfit|||text|||textarea|Outfit|||0|1||0|||0|1|0|0|0|1|1|0|0|0|0|0||0|0|1|0|
142|4|return_policy|||text|||textarea|"Return Policy"|||0|1||0|||0|1|0|0|0|1|1|0|0|0|0|0||0|0|1|0|
154|4|carnival_brand|||int|||select|Brand||eav/entity_attribute_source_table|1|1|23|0|||0|1|1|0|0|1|1|0|0|1|0|0||1|0|0|1|"BENNY GOLD;REASON;GRAND SCHEME;PUBLISH;STANCE;Us versus them ;DOPE;EBBETS FIELD;Denim by Vanquish & fragment;CLAE;MAJESTIC;CHUP;Speedometer;REEBOK;Saucony ;retaW;CARNIVAL;CONVERSE;NIKE;VANS;STUSSY;HERSCHEL;HUF;UNDEFEATED;Diamond;THE QUIET LIFE;PRIMITIVE ;RANSOM;THE HUNDREDS ;Cote & Ciel;TOMS;Losers;JASON MARKK;SSUR;BLACK SCALE;DGK;RASTACLAT ;INCASE;INDIGOSKIN;NATIVE;MEDICOM TOY;BYANYMEANS;CARHARTT WIP;Rompboy shoes;BORN X RAISED;DGK;CBIV;STUSSY WOMEN;Intelligence Magazine;ASICS;HAN CHOLO;HIGHSNOBIETY MAGAZINE;ACAPULCO GOLD;ATMOS LAB;ADIDAS;DIAMOND;UPPERGROUND; CREP PROTECT;MAJOR MINORITY ;FDMTL;PRO-KEDS;THRASHER;CLSC;G-SHOCK;TOKYO 23;NEW ERA;FACELESS"
156|4|size_products|||int|||select|Size||eav/entity_attribute_source_table|1|1|70|0|||1|1|0|1|1|0|0|0|0|0|0|1|simple,configurable|0|0|0|0|"6;12;11;10.5;10;9.5;9;8.5;8;7.5;7;6.5;XXL;XL;L;M;S;XS;5.5;5;4.5;4;38;36;34;32;30;28;27;26;25;24;37;35;33;31;29;11.5;3XL (14-15 US);XXL (13-14 US);XL (12-13 US);L (11-12 US);M (10-11 US);S (9-10 US);XS ( 8-9 US);XXS ( 7-8 US);L/XL;S/M;43;42;41;40;39;38;9 US WOMEN;8 US WOMEN;7 US WOMEN;6 US WOMEN;5 US WOMEN;4 US WOMEN;IPHONE 6 PLUS;IPHONE 6;11.5 US MEN;11 US MEN;10.5 US MEN;10 US MEN;9.5 US MEN;9 US MEN;8.5 US MEN;8 US MEN;7.5 US MEN;7 US MEN;6.5 US MEN;6 US MEN;5.5 US MEN;5 US MEN;4.5 US MEN;4 US MEN;8.5 US WOMEN;7.5 US WOMEN;6.5 US WOMEN;12 US MEN;12 US WOMEN;11.5 US WOMEN;11 US WOMEN;10.5 US WOMEN;10 US WOMEN;9.5 US WOMEN;3.5 UK ;4 UK;4.5 UK;5 UK;5.5 UK;6 UK;6.5 UK;7 UK;7.5 UK;8 UK;8.5 UK;9 UK ;9.5 UK;10 UK;10.5 UK;11 UK;11.5 UK;AVAILABLE FOR STORE PURCHASE ONLY;COMING SOON;44;5.5 US WOMEN;13 UK;12 UK;11 UK;10 UK;2 UK;1 UK;Silver;Gold;43/44;41/42;39/40;37/38;FREESIZE;7 5\8;7 1\4;7 3\8;7 1\2;3UK;OS;7 1\8;ML"
166|4|coming_soon|||int|||boolean|"Coming Soon"||eav/entity_attribute_source_boolean|0|1|0|0|||1|1|0|0|0|1|1|0|0|1|0|0|simple,grouped,configurable,virtual,bundle,downloadable|0|0|0|0|
