"Number Of Reviews","Number Of Reviews"
"Store IDs","Store IDs"
"Number Of Refunded Orders","Number Of Refunded Orders"
"Cost","Cost"
"Created At","Created At"
"Updated At","Updated At"
"Product","Product"
"Stock Quantity","Stock Quantity"
"Stock Availability","Stock Availability"
"All Websites","All Websites"
"Allow Everything","Allow Everything"
"Average Number of Ordered Products","Average Number of Ordered Products"
"Average Revenue","Average Revenue"
"Average Shipping Amount","Average Shipping Amount"
"Average Tax Amount","Average Tax Amount"
"Bestsellers","Bestsellers"
"By Country","By Country"
"By Day of Week","By Day of Week"
"By Hour","By Hour"
"By Payment Type","By Payment Type"
"CSV","CSV"
"Excel XML","Excel XML"
"Export to:","Export to:"
"Group By Parent Product","Group By Parent Product"
"Metric","Metric"
"Mirasvit Advr","Mirasvit Advr"
"Next page","Next page"
"Number Of Search Terms","Number Of Search Terms"
"Number of Ordered Products","Number of Ordered Products"
"Number of Uses","Number of Uses"
"Number of values","Number of values"
"Page","Page"
"Product Sales","Product Sales"
